task_id,task_description,task_category,assigned_employee,task_created_date,deadline_in_days,estimated_effort_hours,employee_current_workload_hours,employee_past_completion_rate
3236,create dashboard using Python,Reporting,EMP_47,2024-06-12,13,40,69,0.86
3237,resolve issue using Python,Support,EMP_48,2024-07-02,13,24,148,0.87
3238,clean data using Python,Data Engineering,EMP_1,2024-12-11,27,16,82,0.51
3239,configure docker using Python,DevOps,EMP_24,2024-07-25,14,24,125,0.63
3240,track deadlines using Python,Task Management,EMP_34,2024-06-16,3,34,49,0.94
3241,prioritize tasks using Python,Task Management,EMP_26,2024-10-31,3,20,90,0.71
3242,analyze metrics using Python,Reporting,EMP_23,2024-05-17,19,13,90,0.61
3243,configure docker using Python,DevOps,EMP_40,2024-01-18,11,37,12,0.69
3244,create dashboard using Python,Reporting,EMP_14,2024-10-15,2,7,16,0.93
3245,build prediction model using Python,Machine Learning,EMP_28,2024-01-25,30,32,50,0.81
3246,manage workload using Python,Task Management,EMP_14,2024-08-23,5,8,153,0.58
3247,perform feature engineering using Python,Machine Learning,EMP_9,2024-09-27,21,5,134,0.92
3248,monitor system using Python,DevOps,EMP_15,2024-03-14,29,5,102,0.89
3249,design warehouse using Python,Data Engineering,EMP_29,2024-05-23,30,6,65,0.64
3250,fix bug using Python,Support,EMP_11,2024-08-20,6,2,40,0.71
3251,analyze metrics using Python,Reporting,EMP_25,2024-06-09,25,36,130,0.61
3252,deploy application using Python,DevOps,EMP_31,2024-08-06,12,13,45,0.6
3253,fix bug using Python,Support,EMP_18,2024-08-11,14,36,24,0.83
3254,prepare report using Python,Reporting,EMP_6,2024-04-21,22,24,92,0.89
3255,manage cloud using Python,DevOps,EMP_9,2024-08-22,9,14,17,0.81
3256,clean data using Python,Data Engineering,EMP_25,2024-07-10,6,40,129,0.51
3257,manage cloud using Python,DevOps,EMP_49,2024-05-31,14,28,110,0.65
3258,assign tasks using Python,Task Management,EMP_10,2024-11-08,12,16,151,0.89
3259,clean data using Python,Data Engineering,EMP_13,2024-01-05,6,27,139,0.54
3260,optimize model using Python,Machine Learning,EMP_13,2024-07-20,26,32,104,0.91
3261,manage cloud using Python,DevOps,EMP_37,2024-06-04,10,25,89,0.84
3262,optimize query using Python,Data Engineering,EMP_11,2024-09-28,18,9,80,0.77
3263,analyze metrics using Python,Reporting,EMP_37,2024-01-19,19,13,65,0.7
3264,assist user using Python,Support,EMP_30,2024-06-12,4,37,28,0.56
3265,design warehouse using Python,Data Engineering,EMP_43,2024-08-07,16,39,148,0.66
3266,track deadlines using Python,Task Management,EMP_23,2024-05-16,21,16,82,0.55
3267,build KPI dashboard using Python,Reporting,EMP_18,2024-05-11,30,19,73,0.82
3268,assist user using Python,Support,EMP_15,2024-11-28,5,26,145,0.56
3269,prepare report using Python,Reporting,EMP_34,2024-06-09,30,33,101,0.64
3270,build KPI dashboard using Python,Reporting,EMP_49,2024-02-15,19,2,128,0.84
3271,optimize query using Python,Data Engineering,EMP_18,2024-07-20,20,33,81,0.69
3272,fix bug using Python,Support,EMP_37,2024-03-11,14,24,62,0.82
3273,setup CI/CD using Python,DevOps,EMP_18,2024-02-01,23,12,25,0.94
3274,transform dataset using Python,Data Engineering,EMP_37,2024-08-28,15,6,63,0.87
3275,setup CI/CD using Python,DevOps,EMP_46,2024-10-29,23,23,150,0.58
3276,assign tasks using Python,Task Management,EMP_4,2024-05-25,4,19,101,0.81
3277,troubleshoot error using Python,Support,EMP_13,2024-03-06,26,5,158,0.94
3278,configure docker using Python,DevOps,EMP_19,2024-03-15,19,7,65,0.52
3279,handle ticket using Python,Support,EMP_16,2024-01-14,7,18,78,0.64
3280,handle ticket using Python,Support,EMP_14,2024-11-02,3,26,20,0.81
3281,design warehouse using Python,Data Engineering,EMP_30,2024-07-23,11,22,98,0.89
3282,troubleshoot error using Python,Support,EMP_16,2024-02-27,29,29,49,0.95
3283,analyze metrics using Python,Reporting,EMP_13,2024-02-29,29,30,112,0.76
3284,fix bug using Python,Support,EMP_46,2024-12-23,28,15,73,0.65
3285,apply NLP using Python,Machine Learning,EMP_33,2024-12-27,29,3,150,0.52
3286,troubleshoot error using Python,Support,EMP_39,2024-03-14,30,35,59,0.59
3287,build KPI dashboard using Python,Reporting,EMP_9,2024-07-10,1,26,82,0.68
3288,generate report using Python,Reporting,EMP_25,2024-07-11,29,10,22,0.81
3289,prepare report using Python,Reporting,EMP_16,2024-12-23,22,37,48,0.7
3290,apply NLP using Python,Machine Learning,EMP_13,2024-10-09,15,26,122,0.64
3291,assign tasks using Python,Task Management,EMP_9,2024-07-31,25,20,54,0.66
3292,manage workload using Python,Task Management,EMP_10,2024-08-02,20,27,34,0.86
3293,deploy application using Python,DevOps,EMP_43,2024-01-25,16,33,124,0.68
3294,apply NLP using Python,Machine Learning,EMP_23,2024-08-18,16,31,107,0.53
3295,build KPI dashboard using Python,Reporting,EMP_32,2024-10-20,22,20,156,0.78
3296,deploy application using Python,DevOps,EMP_18,2024-11-28,13,15,51,0.57
3297,transform dataset using Python,Data Engineering,EMP_7,2024-09-05,29,26,23,0.77
3298,setup CI/CD using Python,DevOps,EMP_23,2024-06-20,25,12,126,0.87
3299,optimize model using Python,Machine Learning,EMP_32,2024-12-11,13,15,87,0.73
3300,clean data using Python,Data Engineering,EMP_19,2024-07-31,21,28,90,0.51
3301,deploy application using Python,DevOps,EMP_29,2024-07-12,21,25,28,0.54
3302,track deadlines using Python,Task Management,EMP_35,2024-09-30,3,1,26,0.5
3303,monitor system using Python,DevOps,EMP_32,2024-02-24,26,3,101,0.51
3304,build KPI dashboard using Python,Reporting,EMP_14,2024-01-11,6,13,46,0.66
3305,optimize model using Python,Machine Learning,EMP_3,2024-02-10,11,30,76,0.73
3306,design warehouse using Python,Data Engineering,EMP_43,2024-11-24,29,2,109,0.51
3307,handle ticket using Python,Support,EMP_20,2024-10-12,13,40,39,0.89
3308,setup CI/CD using Python,DevOps,EMP_22,2024-09-08,17,36,23,0.88
3309,setup CI/CD using Python,DevOps,EMP_14,2024-07-29,28,7,159,0.77
3310,transform dataset using Python,Data Engineering,EMP_46,2024-11-21,16,14,117,0.74
3311,setup CI/CD using Python,DevOps,EMP_32,2024-12-16,13,7,88,0.74
3312,apply NLP using Python,Machine Learning,EMP_9,2024-10-24,19,2,123,0.82
3313,clean data using Python,Data Engineering,EMP_41,2024-11-20,26,8,22,0.72
3314,troubleshoot error using Python,Support,EMP_7,2024-06-19,9,16,116,0.54
3315,configure docker using Python,DevOps,EMP_29,2024-10-23,25,20,108,0.79
3316,analyze metrics using Python,Reporting,EMP_43,2024-12-10,6,1,69,0.53
3317,setup CI/CD using Python,DevOps,EMP_4,2024-01-10,23,30,152,0.6
3318,manage workload using Python,Task Management,EMP_39,2024-08-01,21,6,138,0.77
3319,manage cloud using Python,DevOps,EMP_4,2024-09-27,1,22,27,0.94
3320,fix bug using Python,Support,EMP_4,2024-07-26,3,28,135,0.72
3321,transform dataset using Python,Data Engineering,EMP_1,2024-05-20,26,39,50,0.68
3322,build prediction model using Python,Machine Learning,EMP_18,2024-12-30,30,18,93,0.74
3323,analyze metrics using Python,Reporting,EMP_47,2024-12-30,11,16,142,0.67
3324,deploy application using Python,DevOps,EMP_43,2024-03-09,18,7,66,0.72
3325,prioritize tasks using Python,Task Management,EMP_1,2024-09-01,17,40,114,0.56
3326,fix bug using Python,Support,EMP_43,2024-10-27,11,34,87,0.93
3327,optimize query using Python,Data Engineering,EMP_29,2024-07-12,2,23,13,0.7
3328,setup CI/CD using Python,DevOps,EMP_49,2024-11-01,9,20,145,0.66
3329,monitor system using Python,DevOps,EMP_8,2024-10-12,9,14,104,0.67
3330,perform feature engineering using Python,Machine Learning,EMP_35,2024-02-07,3,33,45,0.69
3331,analyze metrics using Python,Reporting,EMP_34,2024-08-01,16,9,114,0.73
3332,prioritize tasks using Python,Task Management,EMP_1,2024-02-04,22,25,124,0.52
3333,prepare report using Python,Reporting,EMP_12,2024-01-13,10,34,124,0.73
3334,configure docker using Python,DevOps,EMP_33,2024-12-20,6,33,70,0.61
3335,resolve issue using Python,Support,EMP_24,2024-08-10,15,4,97,0.66
3336,manage workload using Python,Task Management,EMP_45,2024-02-09,25,35,160,0.57
3337,handle ticket using Python,Support,EMP_46,2024-01-29,6,34,151,0.94
3338,perform feature engineering using Python,Machine Learning,EMP_24,2024-02-02,11,17,73,0.9
3339,apply NLP using Python,Machine Learning,EMP_18,2024-06-05,25,32,85,0.53
3340,build prediction model using Python,Machine Learning,EMP_3,2024-10-09,3,18,130,0.85
3341,transform dataset using Python,Data Engineering,EMP_33,2024-04-28,22,23,158,0.9
3342,assist user using Python,Support,EMP_3,2024-08-10,25,25,36,0.85
3343,clean data using Python,Data Engineering,EMP_29,2024-06-14,13,7,140,0.66
3344,prepare report using Python,Reporting,EMP_11,2024-08-27,29,39,37,0.83
3345,prepare report using Python,Reporting,EMP_35,2024-03-20,1,24,90,0.81
3346,clean data using Python,Data Engineering,EMP_18,2024-08-04,9,21,125,0.61
3347,build ETL pipeline using Python,Data Engineering,EMP_38,2024-05-31,21,17,53,0.5
3348,manage workload using Python,Task Management,EMP_48,2024-07-26,2,22,93,0.73
3349,transform dataset using Python,Data Engineering,EMP_7,2024-04-15,22,30,36,0.59
3350,track deadlines using Python,Task Management,EMP_6,2024-05-08,21,15,84,0.73
3351,create dashboard using Python,Reporting,EMP_48,2024-01-25,16,23,100,0.85
3352,apply NLP using Python,Machine Learning,EMP_17,2024-02-19,15,33,16,0.53
3353,setup CI/CD using Python,DevOps,EMP_24,2024-03-27,28,37,132,0.74
3354,monitor progress using Python,Task Management,EMP_23,2024-08-26,29,9,153,0.87
3355,build prediction model using Python,Machine Learning,EMP_23,2024-12-15,25,11,12,0.59
3356,perform feature engineering using Python,Machine Learning,EMP_3,2024-05-16,6,4,58,0.58
3357,deploy application using Python,DevOps,EMP_33,2024-07-17,26,38,23,0.72
3358,generate report using Python,Reporting,EMP_41,2024-12-30,5,18,134,0.88
3359,build ETL pipeline using Python,Data Engineering,EMP_32,2024-12-10,18,11,149,0.53
3360,monitor system using Python,DevOps,EMP_4,2024-11-30,9,40,97,0.84
3361,resolve issue using Python,Support,EMP_26,2024-10-18,7,26,134,0.68
3362,assign tasks using Python,Task Management,EMP_45,2024-02-12,13,4,54,0.61
3363,monitor progress using Python,Task Management,EMP_21,2024-07-20,1,30,120,0.65
3364,optimize query using Python,Data Engineering,EMP_7,2024-08-22,19,38,67,0.68
3365,monitor progress using Python,Task Management,EMP_29,2024-12-20,30,6,114,0.74
3366,manage cloud using Python,DevOps,EMP_11,2024-07-24,27,35,134,0.56
3367,assist user using Python,Support,EMP_35,2024-09-19,26,4,41,0.52
3368,monitor system using Python,DevOps,EMP_37,2024-04-24,25,3,13,0.72
3369,manage workload using Python,Task Management,EMP_48,2024-10-14,11,35,66,0.88
3370,generate report using Python,Reporting,EMP_8,2024-11-20,23,13,21,0.59
3371,optimize model using Python,Machine Learning,EMP_18,2024-08-11,30,21,98,0.65
3372,generate report using Python,Reporting,EMP_25,2024-10-01,17,29,36,0.62
3373,apply NLP using Python,Machine Learning,EMP_34,2024-01-06,22,4,19,0.88
3374,configure docker using Python,DevOps,EMP_22,2024-09-20,21,16,127,0.57
3375,prioritize tasks using Python,Task Management,EMP_1,2024-01-05,5,38,59,0.67
3376,build prediction model using Python,Machine Learning,EMP_40,2024-08-03,19,28,127,0.68
3377,analyze metrics using Python,Reporting,EMP_15,2024-07-27,25,6,109,0.86
3378,perform feature engineering using Python,Machine Learning,EMP_17,2024-06-26,3,40,131,0.92
3379,setup CI/CD using Python,DevOps,EMP_20,2024-05-30,12,23,39,0.81
3380,train ML model using Python,Machine Learning,EMP_50,2024-04-13,24,39,39,0.63
3381,assign tasks using Python,Task Management,EMP_33,2024-08-01,17,4,96,0.56
3382,monitor system using Python,DevOps,EMP_31,2024-06-11,26,17,25,0.68
3383,setup CI/CD using Python,DevOps,EMP_46,2024-11-20,11,17,104,0.58
3384,create dashboard using Python,Reporting,EMP_13,2024-05-22,19,24,52,0.51
3385,apply NLP using Python,Machine Learning,EMP_37,2024-12-08,26,23,136,0.81
3386,build ETL pipeline using Python,Data Engineering,EMP_47,2024-07-01,12,9,51,0.57
3387,fix bug using Python,Support,EMP_8,2024-10-10,9,39,133,0.73
3388,analyze metrics using Python,Reporting,EMP_42,2024-05-27,21,25,55,0.9
3389,monitor system using Python,DevOps,EMP_9,2024-02-26,14,18,46,0.63
3390,monitor system using Python,DevOps,EMP_44,2024-09-14,22,21,14,0.71
3391,handle ticket using Python,Support,EMP_1,2024-08-08,27,12,68,0.54
3392,analyze metrics using Python,Reporting,EMP_44,2024-12-20,19,7,152,0.7
3393,handle ticket using Python,Support,EMP_19,2024-11-06,17,34,93,0.81
3394,configure docker using Python,DevOps,EMP_26,2024-01-25,2,29,23,0.76
3395,troubleshoot error using Python,Support,EMP_12,2024-06-25,3,19,59,0.67
3396,troubleshoot error using Python,Support,EMP_3,2024-02-27,21,4,150,0.86
3397,fix bug using Python,Support,EMP_32,2024-12-16,13,23,104,0.55
3398,manage cloud using Python,DevOps,EMP_23,2024-09-26,14,22,68,0.78
3399,setup CI/CD using Python,DevOps,EMP_31,2024-12-27,8,21,126,0.61
3400,design warehouse using Python,Data Engineering,EMP_50,2024-04-26,11,21,127,0.53
3401,perform feature engineering using Python,Machine Learning,EMP_14,2024-07-02,6,38,133,0.88
3402,assign tasks using Python,Task Management,EMP_41,2024-12-18,27,16,14,0.78
3403,optimize query using Python,Data Engineering,EMP_24,2024-09-09,3,17,68,0.52
3404,generate report using Python,Reporting,EMP_50,2024-12-31,20,33,108,0.81
3405,fix bug using Python,Support,EMP_3,2024-04-27,22,7,141,0.62
3406,troubleshoot error using Python,Support,EMP_8,2024-06-05,6,15,147,0.93
3407,resolve issue using Python,Support,EMP_45,2024-11-16,15,3,42,0.63
3408,assist user using Python,Support,EMP_43,2024-05-31,30,35,54,0.73
3409,perform feature engineering using Python,Machine Learning,EMP_28,2024-08-08,20,2,63,0.67
3410,monitor system using Python,DevOps,EMP_47,2024-06-08,4,36,44,0.88
3411,assist user using Python,Support,EMP_50,2024-04-16,21,28,116,0.74
3412,analyze metrics using Python,Reporting,EMP_22,2024-03-08,20,24,105,0.79
3413,optimize model using Python,Machine Learning,EMP_12,2024-09-16,20,37,101,0.59
3414,monitor system using Python,DevOps,EMP_10,2024-02-05,17,31,79,0.61
3415,clean data using Python,Data Engineering,EMP_17,2024-10-03,11,32,79,0.93
3416,assist user using Python,Support,EMP_23,2024-05-28,10,35,47,0.55
3417,configure docker using Python,DevOps,EMP_35,2024-07-12,8,25,23,0.6
3418,analyze metrics using Python,Reporting,EMP_20,2024-11-23,30,8,122,0.78
3419,manage cloud using Python,DevOps,EMP_18,2024-02-04,15,7,33,0.84
3420,optimize model using Python,Machine Learning,EMP_14,2024-01-05,27,20,112,0.89
3421,apply NLP using Python,Machine Learning,EMP_6,2024-06-14,3,6,18,0.95
3422,deploy application using Python,DevOps,EMP_24,2024-05-26,22,13,104,0.86
3423,apply NLP using Python,Machine Learning,EMP_36,2024-04-02,8,40,37,0.72
3424,create dashboard using Python,Reporting,EMP_13,2024-11-18,17,24,134,0.87
3425,build prediction model using Python,Machine Learning,EMP_21,2024-01-29,13,38,116,0.65
3426,clean data using Python,Data Engineering,EMP_21,2024-11-10,24,7,69,0.52
3427,monitor system using Python,DevOps,EMP_19,2024-05-01,24,30,88,0.59
3428,train ML model using Python,Machine Learning,EMP_49,2024-11-15,19,4,79,0.83
3429,manage cloud using Python,DevOps,EMP_30,2024-10-12,10,30,121,0.66
3430,create dashboard using Python,Reporting,EMP_28,2024-02-27,22,31,33,0.81
3431,build prediction model using Python,Machine Learning,EMP_5,2024-04-27,28,14,95,0.68
3432,prioritize tasks using Python,Task Management,EMP_46,2024-11-25,12,10,63,0.62
3433,monitor system using Python,DevOps,EMP_25,2024-12-13,17,19,111,0.86
3434,create dashboard using Python,Reporting,EMP_28,2024-08-15,30,2,156,0.57
3435,generate report using Python,Reporting,EMP_15,2024-06-14,10,26,160,0.59
3436,monitor progress using Python,Task Management,EMP_30,2024-07-29,12,37,137,0.9
3437,design warehouse using Python,Data Engineering,EMP_47,2024-08-20,19,27,68,0.61
3438,perform feature engineering using Python,Machine Learning,EMP_10,2024-02-29,2,8,146,0.56
3439,manage cloud using Python,DevOps,EMP_33,2024-07-10,23,30,27,0.66
3440,setup CI/CD using Python,DevOps,EMP_44,2024-08-26,13,11,14,0.58
3441,manage workload using Python,Task Management,EMP_28,2024-05-11,13,8,34,0.83
3442,transform dataset using Python,Data Engineering,EMP_8,2024-10-07,2,38,139,0.95
3443,assign tasks using Python,Task Management,EMP_19,2024-04-26,28,26,73,0.95
3444,prepare report using Python,Reporting,EMP_46,2024-05-23,15,28,59,0.78
3445,monitor system using Python,DevOps,EMP_3,2024-07-25,30,6,85,0.73
3446,setup CI/CD using Python,DevOps,EMP_5,2024-12-07,7,35,51,0.69
3447,monitor system using Python,DevOps,EMP_23,2024-04-11,16,3,42,0.91
3448,perform feature engineering using Python,Machine Learning,EMP_24,2024-07-12,1,15,68,0.75
3449,train ML model using Python,Machine Learning,EMP_47,2024-09-26,1,1,144,0.84
3450,clean data using Python,Data Engineering,EMP_30,2024-01-23,1,16,46,0.95
3451,setup CI/CD using Python,DevOps,EMP_44,2024-07-19,24,28,67,0.95
3452,transform dataset using Python,Data Engineering,EMP_8,2024-04-22,13,14,106,0.78
3453,fix bug using Python,Support,EMP_42,2024-10-22,5,12,16,0.92
3454,resolve issue using Python,Support,EMP_25,2024-09-06,29,12,128,0.93
3455,deploy application using Python,DevOps,EMP_13,2024-01-18,1,29,83,0.72
3456,monitor progress using Python,Task Management,EMP_16,2024-08-15,17,1,110,0.76
3457,assign tasks using Python,Task Management,EMP_14,2024-10-17,29,24,41,0.69
3458,prepare report using Python,Reporting,EMP_46,2024-10-12,6,35,113,0.85
3459,build KPI dashboard using Python,Reporting,EMP_28,2024-11-09,22,29,54,0.85
3460,clean data using Python,Data Engineering,EMP_47,2024-05-31,18,31,29,0.57
3461,prepare report using Python,Reporting,EMP_16,2024-03-29,23,39,39,0.74
3462,track deadlines using Python,Task Management,EMP_13,2024-11-03,3,15,17,0.55
3463,configure docker using Python,DevOps,EMP_9,2024-03-22,22,10,143,0.69
3464,monitor system using Python,DevOps,EMP_1,2024-03-24,24,30,109,0.57
3465,clean data using Python,Data Engineering,EMP_24,2024-01-18,8,34,85,0.86
3466,configure docker using Python,DevOps,EMP_29,2024-07-23,11,23,101,0.8
3467,train ML model using Python,Machine Learning,EMP_45,2024-04-13,23,17,25,0.65
3468,optimize query using Python,Data Engineering,EMP_41,2024-03-03,23,1,12,0.85
3469,resolve issue using Python,Support,EMP_22,2024-06-12,4,8,137,0.6
3470,prepare report using Python,Reporting,EMP_23,2024-04-06,30,8,69,0.56
3471,monitor progress using Python,Task Management,EMP_7,2024-08-26,12,27,94,0.59
3472,monitor progress using Python,Task Management,EMP_34,2024-10-29,23,11,43,0.51
3473,prioritize tasks using Python,Task Management,EMP_40,2024-08-31,20,1,150,0.83
3474,design warehouse using Python,Data Engineering,EMP_17,2024-04-19,29,14,157,0.78
3475,handle ticket using Python,Support,EMP_21,2024-08-07,1,18,82,0.6
3476,create dashboard using Python,Reporting,EMP_9,2024-05-07,3,40,78,0.72
3477,analyze metrics using Python,Reporting,EMP_38,2024-03-18,3,33,15,0.93
3478,perform feature engineering using Python,Machine Learning,EMP_47,2024-05-14,8,15,31,0.8
3479,handle ticket using Python,Support,EMP_27,2024-01-05,15,22,34,0.83
3480,resolve issue using Python,Support,EMP_17,2024-12-20,4,17,26,0.5
3481,build KPI dashboard using Python,Reporting,EMP_23,2024-11-27,29,8,155,0.66
3482,perform feature engineering using Python,Machine Learning,EMP_25,2024-08-30,2,19,24,0.71
3483,perform feature engineering using Python,Machine Learning,EMP_35,2024-09-08,22,12,113,0.71
3484,analyze metrics using Python,Reporting,EMP_39,2024-07-13,21,19,96,0.77
3485,optimize query using Python,Data Engineering,EMP_24,2024-01-17,12,26,112,0.95
3486,troubleshoot error using Python,Support,EMP_10,2024-12-18,19,36,78,0.65
3487,build KPI dashboard using Python,Reporting,EMP_4,2024-07-17,3,14,55,0.65
3488,monitor system using Python,DevOps,EMP_26,2024-05-04,3,38,91,0.94
3489,clean data using Python,Data Engineering,EMP_37,2024-07-27,22,5,73,0.76
3490,optimize query using Python,Data Engineering,EMP_13,2024-09-13,5,13,17,0.88
3491,perform feature engineering using Python,Machine Learning,EMP_48,2024-09-13,28,39,38,0.65
3492,assist user using Python,Support,EMP_12,2024-03-12,23,27,44,0.65
3493,assist user using Python,Support,EMP_22,2024-10-25,14,23,50,0.61
3494,apply NLP using Python,Machine Learning,EMP_31,2024-03-28,2,28,152,0.82
3495,monitor progress using Python,Task Management,EMP_43,2024-04-13,25,14,36,0.81
3496,configure docker using Python,DevOps,EMP_41,2024-05-13,22,27,155,0.58
3497,track deadlines using Python,Task Management,EMP_30,2024-02-26,22,20,13,0.63
3498,handle ticket using Python,Support,EMP_48,2024-08-29,25,27,109,0.57
3499,monitor progress using Python,Task Management,EMP_39,2024-10-01,7,21,17,0.59
3500,generate report using Python,Reporting,EMP_4,2024-06-08,19,35,156,0.9
3501,perform feature engineering using Python,Machine Learning,EMP_16,2024-07-25,1,28,69,0.82
3502,train ML model using Python,Machine Learning,EMP_6,2024-08-01,21,22,81,0.88
3503,clean data using Python,Data Engineering,EMP_9,2024-01-04,27,6,33,0.75
3504,train ML model using Python,Machine Learning,EMP_27,2024-09-13,22,9,89,0.56
3505,manage workload using Python,Task Management,EMP_29,2024-03-08,7,14,70,0.72
3506,deploy application using Python,DevOps,EMP_42,2024-04-11,21,7,142,0.66
3507,build ETL pipeline using Python,Data Engineering,EMP_1,2024-04-10,19,6,19,0.52
3508,apply NLP using Python,Machine Learning,EMP_45,2024-09-11,3,31,130,0.71
3509,build ETL pipeline using Python,Data Engineering,EMP_42,2024-01-24,28,8,101,0.63
3510,monitor system using Python,DevOps,EMP_32,2024-02-27,22,38,83,0.76
3511,manage cloud using Python,DevOps,EMP_23,2024-01-07,17,28,82,0.64
3512,monitor system using Python,DevOps,EMP_32,2024-07-14,4,25,69,0.52
3513,generate report using Python,Reporting,EMP_7,2024-06-02,12,24,62,0.59
3514,assign tasks using Python,Task Management,EMP_15,2024-05-04,24,12,42,0.7
3515,train ML model using Python,Machine Learning,EMP_31,2024-04-27,14,17,92,0.6
3516,handle ticket using Python,Support,EMP_8,2024-02-14,28,14,71,0.73
3517,build prediction model using Python,Machine Learning,EMP_3,2024-04-13,19,17,146,0.88
3518,transform dataset using Python,Data Engineering,EMP_3,2024-05-27,26,39,16,0.87
3519,manage cloud using Python,DevOps,EMP_9,2024-11-22,1,18,47,0.93
3520,generate report using Python,Reporting,EMP_10,2024-08-09,24,14,80,0.78
3521,resolve issue using Python,Support,EMP_32,2024-05-24,1,34,16,0.83
3522,troubleshoot error using Python,Support,EMP_47,2024-03-07,1,39,93,0.6
3523,deploy application using Python,DevOps,EMP_17,2024-04-19,4,15,116,0.5
3524,troubleshoot error using Python,Support,EMP_35,2024-06-09,1,24,152,0.56
3525,optimize query using Python,Data Engineering,EMP_39,2024-02-10,24,35,147,0.76
3526,handle ticket using Python,Support,EMP_34,2024-05-14,9,39,116,0.61
3527,manage workload using Python,Task Management,EMP_14,2024-01-15,28,28,133,0.62
3528,configure docker using Python,DevOps,EMP_41,2024-07-28,11,28,109,0.93
3529,resolve issue using Python,Support,EMP_35,2024-06-30,13,29,22,0.87
3530,configure docker using Python,DevOps,EMP_15,2024-10-02,4,18,147,0.63
3531,clean data using Python,Data Engineering,EMP_42,2024-11-12,20,20,40,0.81
3532,deploy application using Python,DevOps,EMP_21,2024-11-21,28,39,69,0.69
3533,train ML model using Python,Machine Learning,EMP_21,2024-07-26,6,23,83,0.93
3534,design warehouse using Python,Data Engineering,EMP_39,2024-08-30,23,6,121,0.77
3535,optimize query using Python,Data Engineering,EMP_33,2024-08-10,21,39,154,0.79
3536,build prediction model using Python,Machine Learning,EMP_49,2024-05-22,24,16,134,0.68
3537,monitor progress using Python,Task Management,EMP_5,2024-04-16,23,29,93,0.66
3538,build prediction model using Python,Machine Learning,EMP_15,2024-06-17,5,40,83,0.52
3539,build KPI dashboard using Python,Reporting,EMP_42,2024-05-02,11,36,141,0.84
3540,track deadlines using Python,Task Management,EMP_16,2024-06-09,22,37,75,0.56
3541,track deadlines using Python,Task Management,EMP_40,2024-04-12,17,31,57,0.72
3542,handle ticket using Python,Support,EMP_20,2024-02-18,7,11,37,0.67
3543,train ML model using Python,Machine Learning,EMP_24,2024-06-05,16,37,54,0.57
3544,analyze metrics using Python,Reporting,EMP_43,2024-05-19,6,12,99,0.82
3545,handle ticket using Python,Support,EMP_20,2024-06-11,5,3,107,0.78
3546,transform dataset using Python,Data Engineering,EMP_10,2024-10-04,20,35,44,0.72
3547,monitor progress using Python,Task Management,EMP_41,2024-07-06,19,37,14,0.84
3548,build KPI dashboard using Python,Reporting,EMP_20,2024-06-04,16,27,118,0.75
3549,troubleshoot error using Python,Support,EMP_24,2024-09-04,24,19,101,0.79
3550,configure docker using Python,DevOps,EMP_38,2024-02-14,3,8,45,0.73
3551,assign tasks using Python,Task Management,EMP_47,2024-09-24,18,21,19,0.71
3552,configure docker using Python,DevOps,EMP_2,2024-10-04,18,25,36,0.68
3553,fix bug using Python,Support,EMP_23,2024-09-16,8,3,139,0.62
3554,troubleshoot error using Python,Support,EMP_45,2024-08-24,16,17,65,0.7
3555,fix bug using Python,Support,EMP_40,2024-01-03,18,4,56,0.91
3556,configure docker using Python,DevOps,EMP_41,2024-10-06,13,6,120,0.64
3557,handle ticket using Python,Support,EMP_29,2024-04-15,17,26,58,0.51
3558,troubleshoot error using Python,Support,EMP_37,2024-06-11,13,11,88,0.53
3559,manage workload using Python,Task Management,EMP_5,2024-07-12,8,27,22,0.78
3560,assist user using Python,Support,EMP_41,2024-10-04,19,15,102,0.82
3561,prepare report using Python,Reporting,EMP_32,2024-01-03,9,20,129,0.81
3562,resolve issue using Python,Support,EMP_20,2024-09-15,24,36,123,0.94
3563,transform dataset using Python,Data Engineering,EMP_28,2024-01-05,4,23,65,0.66
3564,apply NLP using Python,Machine Learning,EMP_1,2024-06-13,14,3,25,0.84
3565,build ETL pipeline using Python,Data Engineering,EMP_5,2024-02-22,2,15,156,0.5
3566,build KPI dashboard using Python,Reporting,EMP_24,2024-04-14,6,20,154,0.75
3567,clean data using Python,Data Engineering,EMP_27,2024-07-13,2,6,39,0.82
3568,analyze metrics using Python,Reporting,EMP_9,2024-11-06,17,8,53,0.62
3569,configure docker using Python,DevOps,EMP_35,2024-05-26,21,27,147,0.94
3570,train ML model using Python,Machine Learning,EMP_32,2024-04-17,23,23,154,0.86
3571,train ML model using Python,Machine Learning,EMP_28,2024-07-20,2,33,56,0.53
3572,resolve issue using Python,Support,EMP_46,2024-09-03,29,31,91,0.82
3573,prepare report using Python,Reporting,EMP_34,2024-09-06,11,24,94,0.78
3574,analyze metrics using Python,Reporting,EMP_6,2024-12-08,11,9,156,0.75
3575,optimize model using Python,Machine Learning,EMP_19,2024-11-25,20,37,137,0.92
3576,transform dataset using Python,Data Engineering,EMP_1,2024-03-28,18,37,46,0.88
3577,deploy application using Python,DevOps,EMP_6,2024-02-06,13,13,21,0.71
3578,build KPI dashboard using Python,Reporting,EMP_21,2024-05-03,2,13,98,0.8
3579,monitor system using Python,DevOps,EMP_42,2024-04-06,28,1,99,0.65
3580,manage cloud using Python,DevOps,EMP_41,2024-07-01,5,32,145,0.72
3581,monitor progress using Python,Task Management,EMP_36,2024-01-11,12,13,34,0.79
